date,open,high,low,close,volume,volume(KAS)
04/21/2023,0.022881,0.02759,0.022881,0.02548,9.9 m,
04/22/2023,0.025504,0.027599,0.024197,0.024382,9 m,
04/23/2023,0.02453,0.025295,0.023516,0.024054,6.1 m,
04/24/2023,0.024029,0.024888,0.023593,0.024025,4.3 m,
04/25/2023,0.024151,0.026221,0.023894,0.02564,5.3 m,
04/26/2023,0.025715,0.027665,0.025714,0.026745,6.7 m,
04/27/2023,0.026576,0.031806,0.02619,0.030972,8.5 m,
04/28/2023,0.031095,0.031731,0.029085,0.03133,12.4 m,
04/29/2023,0.03133,0.032793,0.030065,0.031383,9.1 m,
04/30/2023,0.031319,0.031491,0.028283,0.028772,5.9 m,
05/01/2023,0.028835,0.029201,0.026847,0.028593,6.5 m,
05/02/2023,0.028675,0.02876,0.025617,0.025909,7.2 m,
05/03/2023,0.025932,0.027473,0.023079,0.026315,8.8 m,
05/04/2023,0.026308,0.027154,0.02499,0.026236,6.4 m,
05/05/2023,0.026311,0.030069,0.025812,0.027617,8.1 m,
05/06/2023,0.027769,0.028266,0.025099,0.02687,9 m,
05/07/2023,0.026814,0.029719,0.025377,0.026424,12.3 m,
05/08/2023,0.026427,0.026901,0.025154,0.025154,6.8 m,
05/09/2023,0.02518,0.025258,0.022563,0.022864,8.2 m,
05/10/2023,0.022924,0.023877,0.021879,0.022552,7.4 m,
05/11/2023,0.022654,0.024082,0.022245,0.022633,5.2 m,
05/12/2023,0.022716,0.022783,0.019198,0.020561,6.9 m,
05/13/2023,0.020545,0.021273,0.018925,0.020888,9 m,
05/14/2023,0.020897,0.021585,0.020079,0.020368,5.6 m,
05/15/2023,0.020313,0.024049,0.020256,0.022242,5.6 m,
05/16/2023,0.022197,0.0228,0.021173,0.022161,7.5 m,
05/17/2023,0.022161,0.022161,0.019944,0.020145,4.7 m,
05/18/2023,0.020086,0.020529,0.01874,0.019684,6.8 m,
05/19/2023,0.019684,0.019824,0.017607,0.017653,5.7 m,
05/20/2023,0.017689,0.018081,0.01553,0.017385,8.9 m,
05/21/2023,0.017671,0.017706,0.01604,0.016923,9.7 m,
05/22/2023,0.016923,0.017318,0.016214,0.016632,6.1 m,
05/23/2023,0.016632,0.016641,0.014389,0.014535,5.8 m,
05/24/2023,0.014467,0.0149,0.012138,0.013458,10.4 m,
05/25/2023,0.013487,0.016893,0.012014,0.016208,8.2 m,
05/26/2023,0.016263,0.017334,0.014393,0.01627,15.1 m,
