date,open,high,low,close,volume
03/21/2012,4.837900,4.837900,4.837900,4.837900,0
03/22/2012,4.814900,4.814900,4.814900,4.814900,0
03/23/2012,4.704300,4.704300,4.704300,4.704300,0
03/24/2012,4.686000,4.686000,4.686000,4.686000,0
03/25/2012,4.676000,4.676000,4.676000,4.676000,0
03/26/2012,4.550000,4.550000,4.550000,4.550000,0
03/27/2012,4.619100,4.619100,4.619100,4.619100,0
03/28/2012,4.811300,4.811300,4.811300,4.811300,0
03/29/2012,4.788000,4.788000,4.788000,4.788000,0
03/30/2012,4.808400,4.808400,4.808400,4.808400,0
03/31/2012,4.860000,4.860000,4.860000,4.860000,0
04/01/2012,4.908700,4.908700,4.908700,4.908700,0
04/02/2012,4.827000,4.827000,4.827000,4.827000,0
04/03/2012,4.974000,4.974000,4.974000,4.974000,0
04/04/2012,4.952000,4.952000,4.952000,4.952000,0
04/05/2012,4.910100,4.910100,4.910100,4.910100,0
04/06/2012,4.919000,4.919000,4.919000,4.919000,0
04/07/2012,4.949900,4.949900,4.949900,4.949900,0
04/08/2012,4.687200,4.687200,4.687200,4.687200,0
04/09/2012,4.792500,4.792500,4.792500,4.792500,0
04/10/2012,4.871900,4.871900,4.871900,4.871900,0
04/11/2012,4.836700,4.836700,4.836700,4.836700,0
04/12/2012,4.927900,4.927900,4.927900,4.927900,0
04/13/2012,4.919700,4.919700,4.919700,4.919700,0
04/14/2012,4.940000,4.940000,4.940000,4.940000,0
04/15/2012,4.959700,4.959700,4.959700,4.959700,0
04/16/2012,4.968900,4.968900,4.968900,4.968900,0
04/17/2012,4.932000,4.932000,4.932000,4.932000,0
04/18/2012,4.975900,4.975900,4.975900,4.975900,0
04/19/2012,5.117800,5.117800,5.117800,5.117800,0
04/20/2012,5.137700,5.137700,5.137700,5.137700,0
04/21/2012,5.350000,5.350000,5.350000,5.350000,0
04/22/2012,5.260100,5.260100,5.260100,5.260100,0
04/23/2012,5.203500,5.203500,5.203500,5.203500,0
04/24/2012,4.960000,4.960000,4.960000,4.960000,0
04/25/2012,5.098200,5.098200,5.098200,5.098200,0
04/26/2012,5.131800,5.131800,5.131800,5.131800,0
04/27/2012,5.097600,5.097600,5.097600,5.097600,0
04/28/2012,5.109500,5.109500,5.109500,5.109500,0
04/29/2012,4.979400,4.979400,4.979400,4.979400,0
04/30/2012,4.904400,4.904400,4.904400,4.904400,0
05/01/2012,4.949100,4.949100,4.949100,4.949100,0
05/02/2012,5.000000,5.000000,5.000000,5.000000,0
05/03/2012,5.073700,5.073700,5.073700,5.073700,0
05/04/2012,5.134400,5.134400,5.134400,5.134400,0
05/05/2012,5.067000,5.067000,5.067000,5.067000,0
05/06/2012,5.077000,5.077000,5.077000,5.077000,0
05/07/2012,5.049900,5.049900,5.049900,5.049900,0
05/08/2012,5.060000,5.060000,5.060000,5.060000,0
05/09/2012,5.050000,5.050000,5.050000,5.050000,0
05/10/2012,5.043700,5.043700,5.043700,5.043700,0
05/11/2012,4.850000,4.850000,4.850000,4.850000,0
05/12/2012,4.960000,4.960000,4.960000,4.960000,0
05/13/2012,4.946200,4.946200,4.946200,4.946200,0
05/14/2012,4.930000,4.930000,4.930000,4.930000,0
05/15/2012,5.005900,5.005900,5.005900,5.005900,0
05/16/2012,5.035000,5.035000,5.035000,5.035000,0
05/17/2012,5.088700,5.088700,5.088700,5.088700,0
05/18/2012,5.099800,5.099800,5.099800,5.099800,0
05/19/2012,5.118000,5.118000,5.118000,5.118000,0
05/20/2012,5.099500,5.099500,5.099500,5.099500,0
05/21/2012,5.090000,5.090000,5.090000,5.090000,0
05/22/2012,5.099800,5.099800,5.099800,5.099800,0
05/23/2012,5.098800,5.098800,5.098800,5.098800,0
05/24/2012,5.139700,5.139700,5.139700,5.139700,0
05/25/2012,5.119000,5.119000,5.119000,5.119000,0
05/26/2012,5.145500,5.145500,5.145500,5.145500,0
05/27/2012,5.103200,5.103200,5.103200,5.103200,0
05/28/2012,5.139000,5.139000,5.139000,5.139000,0
05/29/2012,5.135800,5.135800,5.135800,5.135800,0
05/30/2012,5.150000,5.150000,5.150000,5.150000,0
05/31/2012,5.135000,5.135000,5.135000,5.135000,0
06/01/2012,5.180100,5.180100,5.180100,5.180100,0
06/02/2012,5.274800,5.274800,5.274800,5.274800,0
06/03/2012,5.249000,5.249000,5.249000,5.249000,0
06/04/2012,5.205100,5.205100,5.205100,5.205100,0
06/05/2012,5.266000,5.266000,5.266000,5.266000,0
06/06/2012,5.440000,5.440000,5.440000,5.440000,0
06/07/2012,5.460000,5.460000,5.460000,5.460000,0
06/08/2012,5.591000,5.591000,5.591000,5.591000,0
06/09/2012,5.633000,5.633000,5.633000,5.633000,0
06/10/2012,5.560000,5.560000,5.560000,5.560000,0
06/11/2012,5.468300,5.468300,5.468300,5.468300,0
06/12/2012,5.574700,5.574700,5.574700,5.574700,0
06/13/2012,5.700000,5.700000,5.700000,5.700000,0
06/14/2012,5.929000,5.929000,5.929000,5.929000,0
06/15/2012,5.954100,5.954100,5.954100,5.954100,0
06/16/2012,6.500000,6.500000,6.500000,6.500000,0
06/17/2012,6.400000,6.400000,6.400000,6.400000,0
06/18/2012,6.163800,6.163800,6.163800,6.163800,0
06/19/2012,6.310000,6.310000,6.310000,6.310000,0
06/20/2012,6.498800,6.498800,6.498800,6.498800,0
06/21/2012,6.670000,6.670000,6.670000,6.670000,0
06/22/2012,6.680100,6.680100,6.680100,6.680100,0
06/23/2012,6.547800,6.547800,6.547800,6.547800,0
06/24/2012,6.428500,6.428500,6.428500,6.428500,0
06/25/2012,6.350000,6.350000,6.350000,6.350000,0
06/26/2012,6.304800,6.304800,6.304800,6.304800,0
06/27/2012,6.419500,6.419500,6.419500,6.419500,0
06/28/2012,6.647000,6.647000,6.647000,6.647000,0
06/29/2012,6.605900,6.605900,6.605900,6.605900,0
06/30/2012,6.650000,6.650000,6.650000,6.650000,0
07/01/2012,6.690000,6.690000,6.690000,6.690000,0
07/02/2012,6.629000,6.629000,6.629000,6.629000,0
07/03/2012,6.760000,6.760000,6.760000,6.760000,0
07/04/2012,6.449900,6.449900,6.449900,6.449900,0
07/05/2012,6.510100,6.510100,6.510100,6.510100,0
07/06/2012,6.670000,6.670000,6.670000,6.670000,0
07/07/2012,6.648100,6.648100,6.648100,6.648100,0
07/08/2012,6.762100,6.762100,6.762100,6.762100,0
07/09/2012,6.799000,6.799000,6.799000,6.799000,0
07/10/2012,7.021500,7.021500,7.021500,7.021500,0
07/11/2012,7.199900,7.199900,7.199900,7.199900,0
07/12/2012,7.150000,7.150000,7.150000,7.150000,0
07/13/2012,7.764400,7.764400,7.764400,7.764400,0
07/14/2012,7.665100,7.665100,7.665100,7.665100,0
07/15/2012,7.542100,7.542100,7.542100,7.542100,0
07/16/2012,7.621000,7.621000,7.621000,7.621000,0
07/17/2012,8.499600,8.499600,8.499600,8.499600,0
07/18/2012,8.800000,8.800000,8.800000,8.800000,0
07/19/2012,9.109800,9.109800,9.109800,9.109800,0
07/20/2012,8.870000,8.870000,8.870000,8.870000,0
07/21/2012,8.520000,8.520000,8.520000,8.520000,0
07/22/2012,8.845500,8.845500,8.845500,8.845500,0
07/23/2012,8.409600,8.409600,8.409600,8.409600,0
07/24/2012,8.445700,8.445700,8.445700,8.445700,0
07/25/2012,8.600000,8.600000,8.600000,8.600000,0
07/26/2012,8.800000,8.800000,8.800000,8.800000,0
07/27/2012,8.900000,8.900000,8.900000,8.900000,0
07/28/2012,8.900000,8.900000,8.900000,8.900000,0
07/29/2012,8.888100,8.888100,8.888100,8.888100,0
07/30/2012,8.710300,8.710300,8.710300,8.710300,0
07/31/2012,9.098000,9.098000,9.098000,9.098000,0
08/01/2012,9.350000,9.350000,9.350000,9.350000,0
08/02/2012,9.550300,9.550300,9.550300,9.550300,0
08/03/2012,10.530000,10.530000,10.530000,10.530000,0
08/04/2012,10.970000,10.970000,10.970000,10.970000,0
08/05/2012,10.984000,10.984000,10.984000,10.984000,0
08/06/2012,10.870000,10.870000,10.870000,10.870000,0
08/07/2012,10.855200,10.855200,10.855200,10.855200,0
08/08/2012,11.100000,11.100000,11.100000,11.100000,0
08/09/2012,11.055300,11.055300,11.055300,11.055300,0
08/10/2012,11.061100,11.061100,11.061100,11.061100,0
08/11/2012,11.386400,11.386400,11.386400,11.386400,0
08/12/2012,11.510200,11.510200,11.510200,11.510200,0
08/13/2012,11.624000,11.624000,11.624000,11.624000,0
08/14/2012,12.037500,12.037500,12.037500,12.037500,0
08/15/2012,12.190000,12.190000,12.190000,12.190000,0
08/16/2012,13.250000,13.250000,13.250000,13.250000,0
08/17/2012,13.500000,13.500000,13.500000,13.500000,0
08/18/2012,11.583600,11.583600,11.583600,11.583600,0
08/19/2012,11.610000,11.610000,11.610000,11.610000,0
08/20/2012,8.000000,8.000000,8.000000,8.000000,0
08/21/2012,10.100000,10.100000,10.100000,10.100000,0
08/22/2012,9.915000,9.915000,9.915000,9.915000,0
08/23/2012,9.806800,9.806800,9.806800,9.806800,0
08/24/2012,10.100000,10.100000,10.100000,10.100000,0
08/25/2012,10.600000,10.600000,10.600000,10.600000,0
08/26/2012,10.523900,10.523900,10.523900,10.523900,0
08/27/2012,10.610000,10.610000,10.610000,10.610000,0
08/28/2012,10.950000,10.950000,10.950000,10.950000,0
08/29/2012,10.940000,10.940000,10.940000,10.940000,0
08/30/2012,10.916900,10.916900,10.916900,10.916900,0
08/31/2012,10.777000,10.777000,10.777000,10.777000,0
09/01/2012,10.160000,10.160000,10.160000,10.160000,0
09/02/2012,9.965400,9.965400,9.965400,9.965400,0
09/03/2012,10.204100,10.204100,10.204100,10.204100,0
09/04/2012,10.530000,10.530000,10.530000,10.530000,0
09/05/2012,10.384700,10.384700,10.384700,10.384700,0
09/06/2012,10.999700,10.999700,10.999700,10.999700,0
09/07/2012,11.181000,11.181000,11.181000,11.181000,0
09/08/2012,11.000000,11.000000,11.000000,11.000000,0
09/09/2012,11.037000,11.037000,11.037000,11.037000,0
09/10/2012,11.020000,11.020000,11.020000,11.020000,0
09/11/2012,11.170000,11.170000,11.170000,11.170000,0
09/12/2012,11.330800,11.330800,11.330800,11.330800,0
09/13/2012,11.364900,11.364900,11.364900,11.364900,0
09/14/2012,11.399000,11.399000,11.399000,11.399000,0
09/15/2012,11.670000,11.670000,11.670000,11.670000,0
09/16/2012,11.750000,11.750000,11.750000,11.750000,0
09/17/2012,11.870000,11.870000,11.870000,11.870000,0
09/18/2012,11.890000,11.890000,11.890000,11.890000,0
09/19/2012,12.250000,12.250000,12.250000,12.250000,0
09/20/2012,12.572500,12.572500,12.572500,12.572500,0
09/21/2012,12.282500,12.282500,12.282500,12.282500,0
09/22/2012,12.368000,12.368000,12.368000,12.368000,0
09/23/2012,12.237800,12.237800,12.237800,12.237800,0
09/24/2012,12.193300,12.193300,12.193300,12.193300,0
09/25/2012,12.100000,12.100000,12.100000,12.100000,0
09/26/2012,12.197000,12.197000,12.197000,12.197000,0
09/27/2012,12.270000,12.270000,12.270000,12.270000,0
09/28/2012,12.308900,12.308900,12.308900,12.308900,0
09/29/2012,12.391000,12.391000,12.391000,12.391000,0
09/30/2012,12.363100,12.363100,12.363100,12.363100,0
10/01/2012,12.400000,12.400000,12.400000,12.400000,0
10/02/2012,12.400000,12.400000,12.400000,12.400000,0
10/03/2012,12.840000,12.840000,12.840000,12.840000,0
10/04/2012,12.890000,12.890000,12.890000,12.890000,0
10/05/2012,12.850000,12.850000,12.850000,12.850000,0
10/06/2012,12.688000,12.688000,12.688000,12.688000,0
10/07/2012,12.505000,12.505000,12.505000,12.505000,0
